SPort, DPort, SPkts, DPkts, SBytes, DBytes, Protocol, SYN, ACK, FIN, PSH, RST, URG, SYN+ACK, Duration, IsAlive, Service, UniqueDests, UniqueSrcs, UniqueDestSocks, UniqueSrcSocks,target
80,36948,7,0,2507,0,6,1,7,0,3,0,0,7,6.010290146,1,0,1,12,5,1,0
34074,53,2,0,142,0,17,0,0,0,0,0,0,0,5.597986698,1,0,12,1,1,12,0
38395,53,2,0,160,0,17,0,0,0,0,0,0,0,5.595033884,1,0,12,1,1,12,0
57352,53,2,0,192,0,17,0,0,0,0,0,0,0,5.587041616,1,0,12,1,1,12,0
53,57352,2,0,302,0,17,0,0,0,0,0,0,0,5.451602936,1,0,1,12,11,1,0
53,38395,2,0,204,0,17,0,0,0,0,0,0,0,5.451124191,1,0,1,12,11,1,0
53,34074,2,0,510,0,17,0,0,0,0,0,0,0,5.448378563,1,0,1,12,11,1,0
37483,443,24,0,3815,0,17,0,0,0,0,0,0,0,5.445717096,1,0,12,1,1,3,0
56149,443,8,0,2444,0,17,0,0,0,0,0,0,0,5.445252419,1,0,12,1,1,3,0
39063,443,12,0,2651,0,17,0,0,0,0,0,0,0,5.443832397,1,0,12,1,1,2,0
52768,443,9,0,1288,0,6,1,8,0,4,0,0,9,5.443611145,1,0,12,1,1,3,0
52772,443,11,0,1406,0,6,1,10,1,4,0,0,11,5.44338274,1,0,12,1,1,3,0
48648,443,10,0,1342,0,6,1,9,0,4,0,0,10,5.443185806,1,0,12,1,1,2,0
53440,443,6,0,925,0,6,1,5,0,2,0,0,6,5.442992926,1,0,12,1,1,3,0
443,56149,16,0,7170,0,17,0,0,0,0,0,0,0,5.442723751,1,0,1,12,3,1,0
53452,443,7,0,979,0,6,1,6,0,2,0,0,7,5.437493563,1,0,12,1,1,3,0
443,48648,9,0,5842,0,6,1,9,0,4,0,0,9,5.350921154,1,0,1,12,2,1,0
443,39063,22,0,24297,0,17,0,0,0,0,0,0,0,5.349986553,1,0,1,12,2,1,0
443,37483,75,0,94177,0,17,0,0,0,0,0,0,0,5.348839998,1,0,1,12,3,1,0
443,52772,10,0,5977,0,6,1,10,1,2,0,0,10,5.348171711,1,0,1,12,3,1,0
443,52768,8,0,5857,0,6,1,8,0,2,0,0,8,5.346878052,1,0,1,12,3,1,0
443,53452,6,0,5433,0,6,1,6,0,3,0,0,6,5.34340024,1,0,1,12,3,1,0
443,53440,5,0,5379,0,6,1,5,0,2,0,0,5,5.342762947,1,0,1,12,3,1,0
60921,53,1,0,73,0,17,0,0,0,0,0,0,0,5.144650221,1,0,12,1,1,12,0
53,60921,1,0,124,0,17,0,0,0,0,0,0,0,5.105064631,1,0,1,12,11,1,0
36958,80,4,0,655,0,6,1,3,0,1,0,0,4,5.092109442,1,0,12,1,1,5,0
52459,53,1,0,73,0,17,0,0,0,0,0,0,0,5.077846289,1,0,12,1,1,12,0
80,36958,3,0,876,0,6,1,3,0,1,0,0,3,5.02694416,1,0,1,12,5,1,0
53,52459,1,0,124,0,17,0,0,0,0,0,0,0,5.024056673,1,0,1,12,11,1,0
36970,80,2,0,128,0,6,1,1,0,0,0,0,2,5.018985271,1,0,12,1,1,5,0
80,36970,1,0,60,0,6,1,1,0,0,0,0,1,4.983989716,1,0,1,12,5,1,0
35095,53,1,0,77,0,17,0,0,0,0,0,0,0,4.244702339,1,0,12,1,1,12,0
53,35095,1,0,105,0,17,0,0,0,0,0,0,0,4.058079481,1,0,1,12,11,1,0
43138,443,8,0,2067,0,17,0,0,0,0,0,0,0,4.049948454,1,0,12,1,1,1,0
37873,53,2,0,192,0,17,0,0,0,0,0,0,0,4.033278465,1,0,12,1,1,12,0
443,43138,9,0,7095,0,17,0,0,0,0,0,0,0,3.935037374,1,0,1,12,1,1,0
60658,443,3,0,246,0,6,1,2,0,1,0,0,3,3.74373889,1,0,12,1,1,3,0
60672,443,6,0,925,0,6,1,5,0,2,0,0,6,3.743262529,1,0,12,1,1,3,0
443,48286,242,0,325370,0,17,0,0,0,0,0,0,0,3.681255102,1,0,1,12,3,1,0
